,precision,recall,f1-score,support
currency,0.8,0.8,0.8,5.0
energy,1.0,1.0,1.0,10.0
housing,1.0,0.95,0.9743589743589743,20.0
interest,0.75,0.8571428571428571,0.8,14.0
jobs,0.9469026548672567,0.981651376146789,0.963963963963964,109.0
macro,0.8666666666666667,0.9069767441860465,0.8863636363636364,86.0
market,0.9615384615384616,0.847457627118644,0.9009009009009009,59.0
none,0.9755102040816327,0.9637096774193549,0.9695740365111561,248.0
other,0.6,0.5,0.5454545454545454,6.0
prices,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
retail,0.6666666666666666,1.0,0.8,4.0
wages,0.9285714285714286,0.8125,0.8666666666666667,16.0
accuracy,0.9322033898305084,0.9322033898305084,0.9322033898305084,0.9322033898305084
macro avg,0.8524324513104538,0.8721326773472948,0.8577497508278443,590.0
weighted avg,0.9348477379898666,0.9322033898305084,0.9324537595730912,590.0
