,precision,recall,f1-score,support
currency,1.0,1.0,1.0,1.0
interest,0.5,1.0,0.6666666666666666,2.0
jobs,1.0,1.0,1.0,23.0
macro,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
market,1.0,0.8260869565217391,0.9047619047619048,23.0
none,0.9622641509433962,0.9622641509433962,0.9622641509433962,53.0
other,0.6666666666666666,1.0,0.8,2.0
prices,0.8571428571428571,1.0,0.9230769230769231,6.0
retail,1.0,1.0,1.0,1.0
wages,1.0,1.0,1.0,1.0
accuracy,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482
macro avg,0.8942595413883355,0.9744872846595569,0.9213291384579325,135.0
weighted avg,0.9590828924162258,0.9481481481481482,0.9502319902319902,135.0
