,precision,recall,f1-score,support
currency,0.6666666666666666,0.4,0.5,5.0
energy,1.0,0.5,0.6666666666666666,10.0
housing,1.0,0.7,0.8235294117647058,20.0
interest,1.0,0.8571428571428571,0.923076923076923,14.0
jobs,0.9506172839506173,0.7064220183486238,0.8105263157894737,109.0
macro,0.8888888888888888,0.8372093023255814,0.8622754491017963,86.0
market,0.873015873015873,0.9322033898305084,0.9016393442622951,59.0
none,0.8114478114478114,0.9717741935483871,0.8844036697247707,248.0
other,0.375,0.5,0.42857142857142855,6.0
prices,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
retail,0.0,0.0,0.0,4.0
wages,0.8,0.5,0.6153846153846154,16.0
accuracy,0.8440677966101695,0.8440677966101695,0.8440677966101695,0.8440677966101695
macro avg,0.7507078055689167,0.6330882877919709,0.6735617075841119,590.0
weighted avg,0.8534732175127654,0.8440677966101695,0.8384346938242583,590.0
